data;fase;views;likes;comentarios;compartilhamentos;tema;categoria
2024-03-27;filiacao;9300;389;144;0;Filiação ao Progressistas (PP);filiacao
2024-03-27;pre-campanha;1500;32;2;0;Convocação: sessão ordinária 27/03;administrativo
2024-04-01;pre-campanha;1500;38;2;0;Convocação: sessão extraordinária 01/04;administrativo
2024-04-08;pre-campanha;2300;100;5;0;Vídeo 92, esclarecimentos sessão extraordinária 01/04;administrativo
2024-04-10;pre-campanha;1500;30;4;0;Convocação: sessão ordinária 10/04;administrativo
2024-05-12;pre-campanha;2000;247;25;0;Parabéns, professora Sílvia (feliz dia das mães);data-comemorativa
2024-08-13;campanha;9800;324;99;1;Nossos entes queridos merecem mais dignidade (proposta cemitério);proposta
2024-08-26;campanha;9600;192;27;0;Uma nova esperança com Hugo Luiz e Cleber Bianchi (loja/comércio);coligacao
2024-08-27;campanha;11700;273;38;0;Juventude experiente: credenciais de Cleber Bianchi;coligacao
2024-08-29;campanha;9900;262;29;0;Apoio da bancada federal e estadual (2º post);coligacao
2024-08-31;campanha;17000;381;37;0;Alfredo Chaves é 11 (repost da caminhada);evento
2024-04-18;pre-campanha;1500;52;0;0;Vídeo 93, esclarecimentos sessão 10/04;administrativo
2024-04-23;pre-campanha;5000;158;17;1;Agendas nos gabinetes dos deputados federais (Brasília);evento
2024-04-29;pre-campanha;637;53;3;0;Vídeo 94, esclarecimentos sessão 22/04;administrativo
2024-05-27;pre-campanha;8800;171;16;1;PLCL 002/2024, isenção de IPTU para vítimas de enchentes;proposta
2024-07-16;pre-campanha;5000;154;23;0;#TáNaMídia: rodovia sem pavimentação trava desenvolvimento;resposta-ataque
2024-05-30;pre-campanha;13000;625;91;0;Quem sou eu (depoimento pessoal);testemunho
2024-04-17;lancamento;4100;71;5;0;Convite: espero vocês amanhã (Cachoeira Piripitinga);evento
2024-06-07;lancamento;6400;298;64;0;Lançamento: decisão muito clara pela autonomia municipal;evento
2024-06-19;lancamento;1500;35;1;0;Convocação: sessão ordinária 19/06;administrativo
2024-07-05;campanha;12300;266;20;0;Muitos de nós descendemos da Itália (herança cultural);data-comemorativa
2024-07-10;campanha;23900;118;20;0;Não sou novato no assunto de gestão pública;resposta-ataque
2024-07-20;campanha;7200;279;58;0;Raízes fortes, bons frutos (propostas de governo);proposta
2024-08-04;campanha;5900;191;20;1;Homenagem a Darcy Bonella (falecimento);evento
2024-05-01;campanha;7500;201;16;0;Registro da convenção partidária;evento
2024-08-07;campanha;6200;175;17;0;Escolha partidária é clara e transparente;resposta-ataque
2024-08-08;campanha;10400;330;48;2;Compromisso de renovação de 100% do secretariado;proposta
2024-08-09;campanha;4900;62;29;0;Não disfarce as deficiências (crítica a adversário);resposta-ataque
2024-08-10;campanha;4400;92;4;4;Reintegrar a saúde à Grande Vitória e o turismo;proposta
2024-08-11;campanha;18900;144;20;0;Crianças com TEA merecem olhar atento do poder público;proposta
2024-04-02;pre-campanha;4000;179;17;0;Ofício 001/2024, auxílio transporte escolar;administrativo
2024-04-10;pre-campanha;2500;75;4;0;Sessão ordinária (vereador);administrativo
2024-04-22;pre-campanha;1500;27;2;0;Sessão ordinária;administrativo
2024-04-23;pre-campanha;5100;185;32;1;Viagem a Brasília, pleito de recursos;evento
2024-04-24;pre-campanha;18900;567;101;0;Registro viagem a Brasília;evento
2024-05-06;pre-campanha;9500;415;122;0;Hugo Luiz lidera pesquisa (matéria Aqui Notícias);midia
2024-05-15;pre-campanha;655;37;0;0;Esclarecimentos sessão ordinária;administrativo
2024-05-16;pre-campanha;7200;251;33;0;Reunião pré-candidatos PP/Republicanos;coligacao
2024-05-22;pre-campanha;2900;35;4;0;Sessão ordinária;administrativo
2024-05-29;pre-campanha;2900;121;4;1;Esclarecimentos sessão ordinária;administrativo
2024-06-04;pre-campanha;8800;31;4;0;Sessão ordinária;administrativo
2024-06-05;pre-campanha;13000;300;31;0;Convite: espero vocês em breve (Cachoeira Piripitinga);administrativo
2024-06-07;lancamento;11600;479;124;2;Lançamento da pré-candidatura (discurso);evento
2024-06-08;lancamento;6200;359;11;0;Lançamento da pré-candidatura (registro do evento);evento
2024-06-09;lancamento;9600;310;19;0;Alfredo Chaves merece liderança nova;proposta
2024-06-12;lancamento;8000;85;12;0;Repercussão na mídia do lançamento;midia
2024-06-14;lancamento;900;85;6;0;Sessão ordinária;administrativo
2024-06-19;lancamento;20600;260;38;0;Não acredite em conversa fiada;resposta-ataque
2024-06-20;lancamento;10700;91;12;0;Convite reunião com comerciantes;evento
2024-06-26;lancamento;4300;174;16;0;Esclarecimentos sessão ordinária;administrativo
2024-07-16;campanha;18400;306;60;0;Carreira baseada em fiscalização;proposta
2024-07-26;campanha;7000;194;35;0;Dia Mundial da Agricultura Familiar;data-comemorativa
2024-07-29;campanha;5100;418;12;1;49ª Festa da Banana e do Leite;evento
2024-08-01;campanha;22300;313;37;0;Política bem feita atende a população;proposta
2024-08-02;campanha;7000;118;22;0;Convite convenção partidária;evento
2024-08-03;campanha;11300;536;152;2;Anúncio do vice-prefeito Cleber Bianchi;coligacao
2024-07-26;campanha;16100;207;22;0;Convite convenção partidária Progressistas;evento
2024-08-06;campanha;6800;269;69;0;"Convenção: ""é ouro para Alfredo Chaves""";evento
2024-08-11;campanha;4900;373;16;0;Feliz dia dos pais;data-comemorativa
2024-08-15;campanha;16200;354;100;6;Chega de promessas vazias (sinalização de trânsito);resposta-ataque
2024-08-16;campanha;14900;310;130;0;Reunião comunitária, renovação política;evento
2024-08-17;campanha;9800;361;60;3;Uma nova esperança para Alfredo Chaves (chapa);proposta
2024-08-18;campanha;6300;210;6;0;Festa de São Roque em Iritimirim;evento
2024-08-18;campanha;7300;250;4;0;Festa em São Roque de Maravilha e Assunta;evento
2024-08-20;campanha;9200;291;85;0;Verão chegando, bem-estar de crianças;proposta
2024-08-20;campanha;15900;234;53;0;Chapa de vereadores do PSDB;coligacao
2024-08-24;campanha;11400;288;82;0;Mudança tá próxima (inauguração de comitê);evento
2024-08-24;campanha;11400;137;25;1;Chamado da mudança;proposta
2024-08-25;campanha;8500;283;16;0;Apoio do deputado Evair de Melo;coligacao
2024-08-25;campanha;14600;302;81;0;"Rally de rua, ""Alfredo Chaves é 11""";evento
2024-08-25;campanha;10100;359;13;0;Festa da comunidade de Carolina (distrito de Matilde);evento
2024-08-25;campanha;7900;231;21;0;Caravana de carros pelo interior;evento
2024-08-25;campanha;4900;149;5;0;Visita à companhia de Lurdes Galina e Edmilson Bottechia;evento
2024-08-25;campanha;6100;184;18;0;A mulherada vem aí (mobilização feminina);evento
2024-08-25;campanha;8900;291;31;0;Encontro de mulheres com a deputada Raquel Lessa;evento
2024-08-29;campanha;33600;366;77;1;IPTU Doce IPTU: chega de fazer a população de boba;resposta-ataque
2024-08-30;campanha;8300;184;22;0;Caminhada com o futuro;evento
2024-08-31;campanha;9200;209;12;1;Caminhada de rua com bandeiras;evento
2024-08-31;campanha;12000;477;44;10;Caminhada de rua (casal com bandeiras);evento
2024-08-31;campanha;9900;380;60;0;Progressistas (marca oficial do partido);coligacao
2024-08-31;campanha;7200;278;70;1;Assembleia já sabe o número (11);coligacao
2024-09-03;reta-final;15100;389;107;0;Deixa o menino trabalhar;resposta-ataque
2024-09-04;reta-final;10800;203;20;0;A alegria (vídeo comunidade);evento
2024-09-05;reta-final;4800;296;34;0;Feliz dia do irmão;data-comemorativa
2024-09-06;reta-final;9000;182;40;0;Repercussão pesquisa Instituto Veritá;pesquisa
2024-09-06;reta-final;8000;260;77;1;Dias para votar no prefeito mais jovem do ES;contagem-regressiva
2024-09-07;reta-final;5500;80;15;0;Feliz 7 de Setembro;data-comemorativa
2024-09-08;reta-final;7100;136;1;0;Olá amigos de Alfredo;evento
2024-09-09;reta-final;10300;140;10;0;Caminhada no Centro (convite);evento
2024-09-12;reta-final;9900;400;69;1;Aula de democracia e cidadania (idosos);evento
2024-09-13;reta-final;39400;280;31;1;Propostas de saúde alfredense;proposta
2024-09-13;reta-final;14000;446;32;2;Sexta de alegria (carreata);evento
2024-09-16;reta-final;11500;246;42;8;Coligação Renovação e Juventude;coligacao
